                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.4891,                0.00424,                0.02966,                 5.4632,             0.00023333,             0.00023333,             0.00023333
                      2,                 5.0421,                0.02542,                 0.0678,                 5.4589,             0.00042467,             0.00042467,             0.00042467
                      3,                 4.4976,                0.08051,                0.17373,                 5.4438,             0.00056889,             0.00056889,             0.00056889
                      4,                 3.8797,                0.11864,                0.25847,                 5.4093,             0.00050194,             0.00050194,             0.00050194
                      5,                 3.3431,                0.13983,                0.33051,                 5.3924,             0.00043126,             0.00043126,             0.00043126
                      6,                 2.8655,                0.18644,                0.39831,                 5.3713,             0.00036057,             0.00036057,             0.00036057
                      7,                 2.4678,                0.19915,                0.41949,                 5.3495,             0.00028988,             0.00028988,             0.00028988
                      8,                 2.2576,                0.22458,                0.43644,                 5.3387,              0.0002192,              0.0002192,              0.0002192
                      9,                  2.021,                0.23729,                0.44068,                 5.3296,             0.00014851,             0.00014851,             0.00014851
                     10,                  1.883,                0.27542,                0.45763,                  5.324,             7.7826e-05,             7.7826e-05,             7.7826e-05
