                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.5008,                0.00424,                 0.0339,                 5.4631,             0.00023333,             0.00023333,             0.00023333
                      2,                  4.991,                 0.0339,                0.08051,                 5.4576,             0.00042467,             0.00042467,             0.00042467
                      3,                 4.3899,                0.09322,                0.19915,                 5.4433,             0.00056889,             0.00056889,             0.00056889
                      4,                 3.6416,                0.13983,                 0.3178,                 5.4121,             0.00050194,             0.00050194,             0.00050194
                      5,                  3.005,                0.20339,                0.39407,                 5.3866,             0.00043126,             0.00043126,             0.00043126
                      6,                 2.4831,                0.24153,                0.45339,                 5.3557,             0.00036057,             0.00036057,             0.00036057
                      7,                 2.0747,                0.27119,                0.47458,                 5.3349,             0.00028988,             0.00028988,             0.00028988
                      8,                 1.8212,                0.30508,                    0.5,                 5.3217,              0.0002192,              0.0002192,              0.0002192
                      9,                 1.6107,                0.29237,                0.50847,                 5.3125,             0.00014851,             0.00014851,             0.00014851
                     10,                  1.493,                0.30085,                0.51271,                 5.3066,             7.7826e-05,             7.7826e-05,             7.7826e-05
